day,month,year,hour,avg-temp,avg-humidity,avg-precip,avg-wind,avg-windir
11,6,2020,12,26.794377027027025,53.706333918918915,0.006222033898305086,6.087115571428572,191.75842057142856
11,6,2020,13,26.771729324324326,51.727692432432434,0.9775030508474576,6.4163567142857145,206.88577857142857
11,6,2020,14,25.79157216216216,57.67533756756757,0.727315593220339,6.567309428571429,217.25001785714284
11,6,2020,15,24.528079324324324,64.5692872972973,0.6672049999999999,6.032152142857143,207.9378727142857
11,6,2020,16,23.61321243243243,70.11821432432433,1.1272973333333336,5.461770428571428,201.8990655714286
11,6,2020,17,22.316092837837836,76.3319331081081,1.1951071666666668,5.052811428571429,168.4640217142857
11,6,2020,18,21.3314722972973,82.01765702702703,1.1877318333333335,5.087221571428572,186.35948071428572
11,6,2020,19,21.057544054054055,83.57941283783784,1.149824,5.451086428571429,205.47786042857143
11,6,2020,20,21.018013108108107,82.33566054054054,1.1525855,5.574049857142858,217.99567114285716
11,6,2020,21,20.98514391891892,81.28011472972973,1.0594956666666666,5.648382714285715,223.85432542857143
11,6,2020,22,20.750303378378376,82.48861675675676,0.8540901666666667,5.7049270000000005,224.2024957142857
11,6,2020,23,20.608982702702704,82.8857791891892,0.5250932203389831,5.924192428571429,225.13919214285715
12,6,2020,0,20.398287702702703,82.9936331081081,0.5400698305084746,5.984620142857143,219.03891185714286
12,6,2020,1,20.07915391891892,83.4044945945946,0.7604005084745762,6.0517074285714285,221.21206571428573
12,6,2020,2,19.693801756756756,84.19510432432432,0.7192321666666667,5.838027714285714,221.66081457142857
12,6,2020,3,19.774855945945944,83.48674040540541,0.9835108474576271,5.653573857142858,222.1004702857143
12,6,2020,4,20.946471486486487,78.50792918918918,0.4888491525423729,5.837691857142857,219.28792485714285
12,6,2020,5,22.063421095890412,72.21395904109589,0.12272137931034482,6.3841511594202895,223.26341188405797
12,6,2020,6,23.01661,65.98988662162162,0.013374915254237289,6.463685714285715,224.65764857142858
12,6,2020,7,23.7732,62.63529824324324,0.5150877966101695,6.711837857142857,221.38598542857144
12,6,2020,8,24.454582432432435,59.5081304054054,0.396777627118644,7.002602571428571,217.71282157142858
12,6,2020,9,25.034958648648647,56.06183094594595,0.41593254237288135,7.020015285714286,225.25774214285715
12,6,2020,10,25.47902027027027,53.02246472972973,0.2557359322033898,6.790292714285713,224.73030114285714
12,6,2020,11,25.774740945945947,51.95240689189189,0.01097864406779661,6.790522,217.37269
12,6,2020,12,25.706305675675676,51.757065135135136,0.007267457627118644,6.817101428571428,223.71165185714287
12,6,2020,13,25.06382054054054,52.63185283783784,0.5572048333333334,7.101011285714287,233.11430928571428
12,6,2020,14,24.040134729729733,60.22674216216216,0.7825313559322035,6.843075714285714,208.0066187142857
12,6,2020,15,23.142513561643835,64.81714808219178,0.5038166101694915,7.008144782608696,197.96503101449275
12,6,2020,16,22.203257534246575,64.34348904109589,0.5456274576271186,6.391245217391305,205.05835159420292
12,6,2020,17,20.948413424657534,66.51249547945206,0.5535364406779661,5.879238260869565,211.76250666666667
12,6,2020,18,20.213809324324323,69.07478121621621,1.5812158333333335,5.233078142857143,208.63373814285714
12,6,2020,19,19.57458616438356,73.07628890410959,0.6364147457627118,5.040783043478261,190.65406695652175
12,6,2020,20,19.25474256756757,75.76869621621623,1.5784941666666665,5.186316285714286,188.22102385714288
12,6,2020,21,19.081867123287672,77.01916,0.7536642372881356,5.489121304347826,202.60866724637683
12,6,2020,22,18.966443108108106,77.81194864864865,0.3209847457627119,5.434498142857143,206.7082354285714
12,6,2020,23,18.62059,79.90867315068493,0.020548103448275866,5.235389565217391,213.82876985507247
13,6,2020,0,18.204179315068494,82.06531821917808,0.021220172413793106,5.043485652173913,215.4569028985507
13,6,2020,1,17.829055205479452,83.26393,0.03568724137931034,4.916556086956522,219.89272811594202
13,6,2020,2,17.51555972222222,83.48563166666666,0.6252607017543861,4.800030147058824,197.64791102941177
13,6,2020,3,18.20595625,82.33480680555556,0.44027421052631577,4.913643529411765,185.3351805882353
13,6,2020,4,19.885069324324324,77.53190851351351,0.009013833333333332,5.128665571428571,204.64560471428572
13,6,2020,5,21.23119205479452,74.1629895890411,0.05584620689655173,5.8269362318840585,208.47164594202897
13,6,2020,6,22.023737837837835,71.4434591891892,0.21038016949152544,6.111128857142857,220.3510917142857
13,6,2020,7,22.552906575342465,69.21378712328767,0.7658189655172414,6.433672318840579,219.22631420289855
13,6,2020,8,22.36586876712329,69.98883602739726,0.5021582456140351,6.4631617391304355,223.17531057971013
13,6,2020,9,22.35204432432432,70.14564635135135,0.4040006896551724,6.333107428571428,212.2803352857143
13,6,2020,10,22.873882602739727,68.17851547945206,0.28683413793103446,6.210829275362319,196.85520985507247
13,6,2020,11,23.463665890410958,65.81979369863014,0.0492542372881356,6.172097246376811,191.62364333333335
13,6,2020,12,23.75480202702703,64.1007877027027,0.018643666666666666,5.870344142857142,191.98786857142855
13,6,2020,13,23.68885135135135,63.98152797297297,0.5540683333333334,5.701988285714286,193.99514028571429
13,6,2020,14,23.961250135135135,62.130985675675674,0.4697661016949153,5.724793000000001,187.44190042857144
13,6,2020,15,23.866030945945944,61.87367662162162,0.7536583333333333,5.520830142857143,196.87364528571428
13,6,2020,16,22.98299635135135,64.87970013513514,1.2164996666666668,5.3530875714285715,202.97121614285714
13,6,2020,17,21.585707837837838,68.96835824324324,1.0472435,5.125712,201.9903737142857
13,6,2020,18,20.83484891891892,72.16415040540541,1.0132605000000001,5.015172857142857,195.58842714285714
13,6,2020,19,20.187406081081082,75.6460054054054,1.0606133333333334,5.150975428571429,194.41770071428573
13,6,2020,20,19.829597837837838,78.51300648648649,1.1755810000000002,5.177292857142858,196.0838547142857
